Timestamp,1. სად ნახეთ ეს გამოკითხვა?,2. სქესი,3. ასაკი,4. სამუშაო გამოცდილება IT სფეროში,5. რომელ კატეგორიას მიეკუთვნებით ყველაზე მეტად?,6. რომელ პროგრამირების ენას იყენებთ ძირითადად?,7. რომელ framework-ს იყენებთ ძირითადად,8. რას იყენებთ source control-ისთვის?,9. გყავთ თუ არა ტესტერები?,10. რას იყენებთ continuous integration-ისთვის?,11. თქვენი Stackoverflow-ს რეიტინგი,12. Max რამდენი star აქვს თქვენს ყველაზე პოპულარულ პროექტს github-ზე,13. დასაქმების ტიპი,14. სამუშაოს ტიპი,15. ძირითადი დამსაქმებელი ორგანიზაცის საქმიანობის სფერო ,17. საშუალოდ რამდენ საათს მუშაობთ თვეში (და არა კვირაში!) ?,18. საშუალო თვიური შემოსავალი ხელზე ლარებში ბოლო 1 წლის მანძილზე ,"19. ღია კითხვა -  თქვენი აზრით რა უნდა გაკეთდეს იმისთვის, რომ საქართველომ მიაღწიოს  პროგრესს ინფორმაციული ტექნოლოგიების კუთხით?    ",16. ქვეყანა სადაც ფიზიკურად იმყოფებით,თქვენი GPA უნივერსიტეტში (თუ სწავლობთ ან დამთავრებული გაქვთ),ეროვნული გამოცდების ქულა უნარებში ,,GPA
6/8/2018 17:10:29,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,21-24,არ მაქვს,netadmin,,,,,,,,არ ვარ დასაქმებული,,ენერგეტიკა და ინჟინერია,,,"It სფეროში მომუშავე პროფესიონალები უნდა ასწავლიდნენ უნივერსიტეტებში და კოლეჯებში,ხელი უნდა შეეწყოს ტექნიკური ინგლისურის და ზოგადი ინგლისურის ინტენსიურ სწავლებას. უცხო ენის ცოდნის გარეშე პროგრესი ვერ მიიღწევა. ",საქართველო,2.5-3,80-90 %,,
6/13/2018 23:01:41,"ჯგუფ - ""Web Development Professionals from Georgia""-ში",მამრობითი,27-30,9-12 წელი,Front End Developer,Javascript,Angular,Git,კი,Jenkins,700-1000,10-20,Full Time,Office,ინფორმაციული ტექნოლოგიები,160-200,10k-15k,,Netherlands,2-2.5,80-90 %,,
6/28/2018 14:26:54,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,18-21,არ მაქვს,Game Developer,C++,.Net,Git,არა,არ ვიყენებთ,10-100,0-10,არ ვარ დასაქმებული,,,0,0-300,სანამ მარტო ვები და მობაილ დეველოპმენტი იქნება მოთხოვნაში ისიც იმიტომ რომ რომელიღაც ბანკს უნდა ეს პროდუქტი არ განვითარდება არასდროს. მეტი სწავლება სხვა მიმართულებებით და სტარტაპების ხელშეწყობა (ასევე სხვა მიმართულებებით),საქართველო,3-3.5,90 - 100 %,,
7/1/2018 13:39:44,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,35-40,9-12 წელი,algorithms,C,"STL, Qt",Git,კი,Jenkins,,,Both (Full time + Part Time),Office,ინფორმაციული ტექნოლოგიები,160-240,6k-7k,"სახელმწიფომ უნდა შეუქმნას პირობები და დააინტერესოს დიდ უცხოურ იტ კომპანიებს, რომ გახსნან ოფისები საქართველოში.

ასევე საქართველოში უნივერსიტეტებში ჩაბარება უნდა უნდოდეთ უცხოელ სტუდენტებს, რადგან მხოლოდ ქართველების რესურსები შეიძლება არ იყოს საკმარისი ახალი პროექტებისთვის... ანუ აქაც, სწავლების დონე უნდა ამაღლდეს: უნდა ისწავლებოდეს ენები თანამედროვე სტანდარტებით და არა მოძველებული საბჭოელი ლექტორების მიერ",საქართველო,,,,
7/10/2018 11:26:07,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,21-24,2-4 წელი,,,,,,,50k-100k,100-500,Full Time,Remote and office,ინფორმაციული ტექნოლოგიები,40-100,500-1000,,საქართველო,,50-60 %,,
7/10/2018 13:34:05,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,15-18,არ მაქვს,Full Stack Developer,c++,.Net,არ ვიყენებთ,არა,არ ვიყენებთ,0-10,0-10,არ ვარ დასაქმებული,Office,ინფორმაციული ტექნოლოგიები,0,0-300,"სკოლებში უნდა ისწაველბოდეს პროგრამული ამოცანების ამხსნა, თუნდაც მათემათკური დამწყებთატვის",საქართველო,2.5-3,70-80 %,,
7/13/2018 17:20:21,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,24-27,9-12 წელი,Back End Developer,C#,.Net,არ ვიყენებთ,კი,არ ვიყენებთ,400-700,50-100,Both (Full time + Part Time),Remote and office,ინფორმაციული ტექნოლოგიები,240-300,1000-1500,,საქართველო,4,60-70 %,,
7/26/2018 21:06:49,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,21-24,არ მაქვს,Game Developer,C#,.Net,Git,არა,არ ვიყენებთ,,,არ ვარ დასაქმებული,,ინფორმაციული ტექნოლოგიები,0,500-1000,"gaketdes organizacia da site, romelic yvela IT spheros saqartveloshi daakavshirebs ertmanets. iyos meti ufaso treningebi da stajirebebi.",საქართველო,1.5-2,60-70 %,,
8/13/2018 21:27:52,"გვერდ - ""Dev Jobs Georgia""-ზე",მამრობითი,24-27,2-4 წელი,Back End Developer,X++,.Net,TFS,არა,არ ვიყენებთ,,,Full Time,Office,ინფორმაციული ტექნოლოგიები,160-200,1500-2000,ხელშეწყობა და მეტი ცოდნის მიღება მაღალ კვალიფიციური ადამიანებისგან,საქართველო,2-2.5,50-60 %,,
9/1/2018 16:06:46,Github,მამრობითი,21-24,2-4 წელი,Full Stack Developer,Javascript,Laravel,Git,კი,არ ვიყენებთ,0-10,0-10,Full Time,Office,სარეკლამო სფერო,160-200,1500-2000,,საქართველო,2-2.5,80-90 %,,
9/19/2018 23:00:36,"ჯგუფ - ""Web Development Professionals from Georgia""-ში",მამრობითი,0-15,არ მაქვს,Front End Developer,html,,Subversion,არა,არ ვიყენებთ,,,არ ვარ დასაქმებული,Remote,,0,0,,საქართველო,,,,
10/3/2018 0:38:26,"გვერდ - ""Dev Jobs Georgia""-ზე",მამრობითი,15-18,0-1 წელი,Front End Developer,Javascript,React,Git,არა,არ ვიყენებთ,10-100,0-10,Part Time,Remote,,0-40,0-300,,საქართველო,,,,
10/5/2018 9:31:55,Facebook,მამრობითი,40-45,15-20 წელი,Full Stack Developer,Php,,Git,არა,არ ვიყენებთ,,,,Remote and office,სამედიცინო სფერო,40-100,1000-1500,კულტურა განვითარდეს,საქართველო,,,,
10/8/2018 0:18:27,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,24-27,6-9 წელი,Full Stack Developer,C#,.Net,არ ვიყენებთ,არა,არ ვიყენებთ,0-10,0-10,Both (Full time + Part Time),Remote and office,ინფორმაციული ტექნოლოგიები,240-300,500-1000,,საქართველო,3.9-3.99,50-60 %,,
10/22/2018 14:57:43,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,21-24,0-1 წელი,Mobile Apps Developer,Python,Django,არ ვიყენებთ,არა,Jenkins,200-400,100-500,არ ვარ დასაქმებული,Remote,ინფორმაციული ტექნოლოგიები,,,,საქართველო,3-3.5,60-70 %,,
10/24/2018 21:04:47,"გვერდ - ""Dev Jobs Georgia""-ზე",მამრობითი,21-24,4-6 წელი,it,Python,Django,არ ვიყენებთ,არა,,,,,,,400+,300-500,,საქართველო,0-0.5,,,
11/21/2018 14:45:25,"ჯგუფ - ""Web Development Professionals from Georgia""-ში",მამრობითი,24-27,9-12 წელი,Full Stack Developer,Javascript,React,Git,კი,Jenkins,400-700,0-10,Full Time,Remote,ინფორმაციული ტექნოლოგიები,100-160,7k-10k,,საქართველო,,70-80 %,,
11/28/2018 14:43:41,დავით ბუმბეიშვილის ბლოგში,მამრობითი,18-21,1-2 წელი,Mobile Apps Developer,C#,.Net,Git,არა,არ ვიყენებთ,10-100,0-10,Full Time,Office,ინფორმაციული ტექნოლოგიები,100-160,500-1000,"უნივერსიტეტებში უნდა აიწიოს სწავლის დონემ, უნდა გახდეს უფრო რთული.",საქართველო,2-2.5,80-90 %,,
11/29/2018 23:34:05,"გვერდ - ""Dev Jobs Georgia""-ზე",მამრობითი,24-27,0-1 წელი,,,,Git,კი,არ ვიყენებთ,,,Full Time,Office,,160-200,5k-6k,ცოდნა შრომა თავისუფლება,,2-2.5,70-80 %,,
12/18/2018 20:06:47,"გვერდ - ""It Jobs Georgia""-ზე",მდედრობითი,24-27,2-4 წელი,cybersec,Python,Angular,,კი,არ ვიყენებთ,,,Full Time,Office,ინფორმაციული ტექნოლოგიები,240-300,1500-2000,"1. რაც შეიძლება მეტი სამეცნიერო ან/და ინოვაციური პროექტი უნდა დაფინანსდეს;
2. იმ რისკების გათვალისწინებით რაც არსებობს ჩვენ ქვეყანაში საფრთხეების გამო, სასწრაფოდ უნდა დაიწყოს სკოლებში და უნივერსიტეტებში ინფორმაციული და კიბერუსაფრთხოების სწავლება.",საქართველო,3-3.5,60-70 %,,
12/20/2018 11:10:34,"გვერდ - ""Dev Jobs Georgia""-ზე",მამრობითი,24-27,9-12 წელი,Full Stack Developer,,,Git,არა,Travis,10-100,100-500,Both (Full time + Part Time),Remote and office,ინფორმაციული ტექნოლოგიები,160-240,7k-10k,განათლება ,,2.5-3,50-60 %,,
1/11/2019 20:59:14,,მამრობითი,21-24,2-4 წელი,,C#,.Net Core,Git,კი,არ ვიყენებთ,,,არ ვარ დასაქმებული,Remote and office,ინფორმაციული ტექნოლოგიები,240-300,1000-1500,,საქართველო,3.5-3.7,50-60 %,,
2/26/2019 17:21:28,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,27-30,4-6 წელი,Qa engineer ,Javascript,Protractor,Git,კი,Jenkins,0-10,0-10,Full Time,Remote and office,ინფორმაციული ტექნოლოგიები,160-200,3k-4k,,საქართველო,3.7-3.8,50-60 %,,
3/18/2019 19:44:51,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,21-24,0-1 წელი,Back End Developer,C#,.Net,Git,არა,Jenkins,100k+,20-50,არ ვარ დასაქმებული,Remote and office,ინფორმაციული ტექნოლოგიები,40-100,1500-2000,შექმნას უფასო კოლეჯები ინფორმაციული ტექნოლოგიების მიმართულებით,საქართველო,4,70-80 %,,
4/5/2019 22:28:10,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,21-24,არ მაქვს,Front End Developer,C#,.Net,,არა,,,,არ ვარ დასაქმებული,Remote and office,ინფორმაციული ტექნოლოგიები,0,0-300,მეტი შენეცნებითი და გადასამზადებელი ცენტრების ჩამოყალიბება,საქართველო,1.5-2,80-90 %,,
6/1/2019 20:59:53,"ჯგუფ - ""Remote Work - Georgian Community"" -ში",მამრობითი,21-24,4-6 წელი,Full Stack Developer,Javascript,React,Git,კი,არ ვიყენებთ,100-200,,Full Time,Office,ინფორმაციული ტექნოლოგიები,160-200,3000,რთულია საქართველომ რამეში რამეს მიაღწიოს,საქართველო,,60-70 %,,
6/28/2019 22:26:12,"ჯგუფ - ""Georgian Web & Mobile Development Industry"" -ში",მამრობითი,18-21,2-4 წელი,Front End Developer,Javascript,React,Git,არა,არ ვიყენებთ,,,,,,,,,,3.7-3.8,70-80 %,,
6/29/2019 16:00:08,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,40-45,12-15 წელი,it,,.Net,,,,,,,Remote,განათლება,300-400,1000-1500,"დიახ
",საქართველო,,,,
7/30/2019 19:54:52,"გვერდ - ""It Jobs Georgia""-ზე",მამრობითი,30-35,2-4 წელი,,,,,,,,,Both (Full time + Part Time),Remote and office,ინფორმაციული ტექნოლოგიები,,1500-2000,ბიძაშვილ-მამიდაშვილობა და ჩერეზ ნაცნობობა უნდა მოისპოს და ყველაფერს ეშველება,საქართველო,,,,
